#,Video Title,Status,Editor(s),Frame.io Link,Version #,Trello Card,Last Activity
37,Sam 03 - Bright,Main Channel - Approved,Ogunsina Abdullah,https://f.io/y62ig8oP,,https://trello.com/c/xZ6qGMRd,2026-05-21
38,Sam 07 - Bright,Main Channel - Approved,Ogunsina Abdullah,https://f.io/ifaazMSV,,https://trello.com/c/pZlWqv6d,2026-05-21
39,Sam 08 - Bright,Main Channel - Approved,Ogunsina Abdullah,https://f.io/WsfPGaim,v1,https://trello.com/c/se86jl0Q,2026-05-21
,,,,https://f.io/2vZpGoxL,v2,,
40,Sam 13 - Bright,Main Channel - Approved,Ogunsina Abdullah,https://f.io/uyGAIpCb,v1,https://trello.com/c/Tz9eCEGF,2026-05-25
,,,,https://f.io/2Wq4oaTG,v2,,
,,,,https://f.io/dSAsec-L,v3,,
,,,,https://f.io/Cd2oV2qt,v4,,
41,Sam 14 - Bright,Main Channel - Approved,Ogunsina Abdullah,https://f.io/fCnWnwPh,v1,https://trello.com/c/IFEt5fD5,2026-05-24
,,,,https://f.io/iVfwhfSj,v2,,
42,Stick to your promises,Main Channel - Approved,Jhully Maria,https://f.io/OFZI_vqs,,https://trello.com/c/f7poju52,2026-05-22
43,The feeling of building,Main Channel - Approved,Jhully Maria,https://f.io/YGPyCMlw,,https://trello.com/c/GKGpzD9M,2026-05-22
44,sam 16,Main Channel - Approved,Ogunsina Abdullah,https://f.io/FguOa-dc,v1,https://trello.com/c/MWtkw6NU,2026-05-25
,,,,https://f.io/0X7ou2qx,v2,,
45,sam 17,Main Channel - Approved,Ogunsina Abdullah,https://f.io/lwzFvcqV,v1,https://trello.com/c/GXtvdWMz,2026-05-26
,,,,https://f.io/z0YB9AxF,v2,,
,,,,https://f.io/D1QObGNa,v3,,
,,,,https://f.io/NOlvzf9Z,v4,,
,,,,https://f.io/VAFYiNfP,v5,,
,,,,https://f.io/npNtgtoH,v6,,
46,Sam 02 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/3de4jQs8,,https://trello.com/c/E2qxw8Jw,2026-05-18
47,Sam 04 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/HhBPUspF,,https://trello.com/c/YeO2cwNE,2026-05-18
48,Sam 05 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/PaFIxHZo,,https://trello.com/c/91haynyS,2026-05-18
49,Sam 06 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/w2IVY50w,,https://trello.com/c/Yy67yhpi,2026-05-18
50,Sam 09 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/f_OgNIka,,https://trello.com/c/BAbOOHhG,2026-05-18
51,Sam 10 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/UKyVIKFM,v1,https://trello.com/c/ciWW3Unc,2026-05-22
,,,,https://f.io/jXvgPrpf,v2,,
,,,,https://f.io/O5CQelDc,v3,,
,,,,https://f.io/aJINAwla,v4,,
52,Sam 12 - Bright,Trials Reels - Sam Approved,Ogunsina Abdullah,https://f.io/hLRELIk6,v1,https://trello.com/c/QHq7QlrZ,2026-05-22
,,,,https://f.io/xl8VyEI7,v2,,
,,,,https://f.io/8PhxZFqA,v3,,
